raceId,driverId,constructorId,grid,position,laps,seconds,fastestLapSpeed,circuitId,Length,Turns,Constructor Experience,Driver Experience,Driver Age,Driver Wins,Constructor Wins,Driver Constructor Experience,DNF Score,prev_position,podium,year,month,day,pit_stop,pit_lap,pit_duration,pit_milliseconds
45,1,1,10,9,59,0.0,198.421,20,5.148,15,1229,10,22,2,151.0,10,0.51,9.0,0,2007,7,22,1.0,16.0,23.227,23227.0
47,1,1,2,5,58,5247.246,218.464,5,5.338,14,1233,12,22,3,151.0,12,0.51,5.0,0,2007,8,26,1.0,16.0,23.227,23227.0
49,1,1,4,4,44,4862.681,233.002,13,7.004,20,1237,14,22,3,151.0,14,0.51,4.0,0,2007,9,16,1.0,16.0,23.227,23227.0
52,1,1,2,7,70,0.0,213.946,18,4.309,15,1243,17,22,4,151.0,17,0.51,7.0,0,2007,10,21,1.0,16.0,23.227,23227.0
19,1,1,9,5,56,5525.103,209.033,2,5.543,15,1247,19,23,5,153.0,19,0.52,5.0,0,2008,3,23,1.0,16.0,23.227,23227.0
20,1,1,3,13,56,0.0,203.969,3,5.412,15,1249,20,23,5,153.0,20,0.52,13.0,0,2008,4,6,1.0,16.0,23.227,23227.0
25,1,1,13,10,70,5564.783,205.022,8,4.411,17,1259,25,23,6,153.0,25,0.52,10.0,0,2008,6,22,1.0,16.0,23.227,23227.0
28,1,1,1,5,70,5870.115,193.533,11,4.381,14,1265,28,23,8,153.0,28,0.52,5.0,0,2008,8,3,1.0,16.0,23.227,23227.0
31,1,1,15,7,53,5237.406,232.44,14,5.793,11,1271,31,23,8,153.0,31,0.52,7.0,0,2008,9,14,1.0,16.0,23.227,23227.0
33,1,1,1,12,67,5500.792,206.47,16,4.563,16,1275,33,23,8,154.0,33,0.52,12.0,0,2008,10,12,1.0,16.0,23.227,23227.0
35,1,1,4,5,71,5690.342,209.177,18,4.309,15,1279,35,23,9,154.0,35,0.52,5.0,0,2008,11,2,1.0,16.0,23.227,23227.0
2,1,1,12,7,31,4312.825,201.276,2,5.543,15,1283,37,24,9,154.0,37,0.52,7.0,0,2009,4,5,1.0,16.0,23.227,23227.0
3,1,1,9,6,56,7135.351,171.138,17,5.451,16,1285,38,24,9,154.0,38,0.52,6.0,0,2009,4,19,1.0,16.0,23.227,23227.0
4,1,1,5,4,57,5530.278,205.269,3,5.412,15,1287,39,24,9,154.0,39,0.52,4.0,0,2009,4,26,1.0,16.0,23.227,23227.0
5,1,1,14,9,65,0.0,199.883,4,4.657,14,1289,40,24,9,154.0,40,0.52,9.0,0,2009,5,10,1.0,16.0,23.227,23227.0
6,1,1,19,12,77,0.0,158.824,6,3.337,19,1291,41,24,9,154.0,41,0.52,12.0,0,2009,5,24,1.0,16.0,23.227,23227.0
7,1,1,16,13,58,5265.302,216.986,5,5.338,14,1293,42,24,9,154.0,42,0.52,13.0,0,2009,6,7,1.0,16.0,23.227,23227.0
8,1,1,18,16,59,0.0,224.128,9,5.891,18,1295,43,24,9,154.0,43,0.52,16.0,0,2009,6,21,1.0,16.0,23.227,23227.0
9,1,1,5,18,59,0.0,194.331,20,5.148,15,1297,44,24,9,154.0,44,0.52,18.0,0,2009,7,12,1.0,16.0,23.227,23227.0
13,1,1,1,12,52,0.0,245.923,14,5.793,11,1305,48,24,10,154.0,48,0.52,12.0,0,2009,9,13,1.0,16.0,23.227,23227.0
338,1,1,11,6,58,5646.429,215.7,1,5.278,14,1317,54,25,11,154.0,54,0.52,6.0,0,2010,3,28,1.0,16.0,23.227,23227.0
339,1,1,20,6,56,5651.883,204.151,2,5.543,15,1319,55,25,11,154.0,55,0.53,6.0,0,2010,4,4,1.0,16.0,23.227,23227.0
341,1,1,3,14,64,0.0,198.655,4,4.657,14,1323,57,25,11,156.0,57,0.53,14.0,0,2010,5,9,1.0,16.0,23.227,23227.0
342,1,1,5,5,78,6617.718,157.755,6,3.337,19,1325,58,25,11,156.0,58,0.53,5.0,0,2010,5,16,1.0,16.0,23.227,23227.0
347,1,1,6,4,67,5285.76,215.238,10,4.574,17,1335,63,25,13,161.0,63,0.53,4.0,0,2010,7,25,1.0,16.0,23.227,23227.0
352,1,1,8,5,53,5466.918,219.633,22,5.807,18,1345,68,25,14,161.0,68,0.53,5.0,0,2010,10,10,1.0,16.0,23.227,23227.0
354,1,1,4,4,71,5606.437,210.049,18,4.309,15,1349,70,25,14,161.0,70,0.53,4.0,0,2010,11,7,1.0,16.0,23.227,23227.0
842,1,1,2,8,56,5929.789,196.575,2,5.543,15,1355,73,26,14,161.0,73,0.53,8.0,0,2011,4,10,2.0,36.0,23.199,23199.0
844,1,1,4,4,58,5457.79,213.264,5,5.338,14,1359,75,26,15,161.0,75,0.53,4.0,0,2011,5,8,2.0,24.0,22.611,22611.0
846,1,1,9,6,78,7805.583,154.456,6,3.337,19,1363,77,26,15,161.0,77,0.54,6.0,0,2011,5,29,4.0,52.0,22.466,22466.0
849,1,1,10,4,52,5350.182,220.499,9,5.891,18,1369,80,26,15,161.0,80,0.54,4.0,0,2011,7,10,2.0,25.0,20.533,20533.0
